Price,Close,High,Low,Open,Volume
Ticker,BDL.NS,BDL.NS,BDL.NS,BDL.NS,BDL.NS
Date,,,,,
2024-06-20,1568.389404296875,1596.3186871517375,1525.870820207013,1566.1909579559633,2357325
2024-06-21,1529.318115234375,1574.7345761220922,1519.8751527224922,1566.6405908290449,1643504
2024-06-24,1551.8515625,1563.8426885463618,1494.893713779781,1516.9773465191556,1627649
2024-06-25,1544.2071533203125,1584.6273127921065,1533.1153864246057,1558.3467134620646,1904136
2024-06-26,1588.5743408203125,1628.7945749565085,1566.140991938847,1573.8352488076691,6721495
2024-06-27,1600.7652587890625,1634.440409766955,1576.8330193594934,1606.4611166477753,3237677
2024-06-28,1595.4193115234375,1647.7805868289906,1578.8316113946667,1610.9078494833218,2931828
2024-07-01,1614.10546875,1622.7989859541685,1580.0305895027707,1598.117301400698,2090122
2024-07-02,1595.1195068359375,1656.7238160604086,1583.827814946826,1624.7974934407187,2608871
2024-07-03,1632.591796875,1674.710527900162,1589.4736834045766,1604.4125785676606,7386981
2024-07-04,1682.65478515625,1713.731762399082,1634.6902810191327,1638.7872246848365,9184976
2024-07-05,1730.5692138671875,1793.3727097673038,1654.7753319074118,1692.747229620263,9629462
2024-07-08,1695.695068359375,1771.9887056437587,1668.765046490954,1739.7625542968526,4089435
2024-07-09,1680.0067138671875,1712.9823103326848,1638.7872182853162,1701.9904448441857,2199878
2024-07-10,1630.6431884765625,1687.2513190154332,1570.1380396531056,1686.751688775867,2960122
2024-07-11,1665.0677490234375,1675.2601568973057,1621.7497106094065,1636.7886292858852,2375360
2024-07-12,1664.318359375,1697.7435740028757,1619.851267530899,1671.063367688431,2696736
2024-07-15,1627.5455322265625,1678.7576326266308,1620.8005238811877,1671.7127973405563,1731106
2024-07-16,1600.7154541015625,1645.6321657598005,1582.8286663671872,1630.4933444600904,1728586
2024-07-18,1545.3062744140625,1608.759313001528,1532.1660970780094,1600.8152412144814,2115200
2024-07-19,1466.66455078125,1553.8500265473301,1460.9188030946602,1535.863338137136,2859021
2024-07-22,1492.6453857421875,1509.8826295273273,1406.0095483793275,1448.9777502785166,3148425
2024-07-23,1466.814453125,1526.869982354316,1349.0016205355541,1508.883294080509,3116965
2024-07-24,1427.693359375,1488.8980615704286,1423.9461327099737,1466.814430153881,1641033
2024-07-25,1405.8095703125,1434.9380374605798,1392.5194792259924,1420.948390855811,1387692
2024-07-26,1411.4554443359375,1432.2401113525113,1405.1101646105062,1409.057194760173,1160129
2024-07-29,1468.263427734375,1474.6587194891713,1414.2534695563913,1424.9455083798464,2146657
2024-07-30,1477.206787109375,1496.8921693833497,1456.3721089301237,1468.7130731976538,1441946
2024-07-31,1459.020263671875,1483.8518632457906,1456.4722225289836,1477.9563237504476,617138
2024-08-01,1449.177490234375,1466.3647214506561,1426.943944874806,1459.0201814245138,827899
